"exp";"alg";"sco";"best";"iter";"mean";"median";"sd"
"1";"hc";"k2";"5";"14";"3.8";"3.8";"0.65"
"1";"hc";"aic";"5";"21";"4.16";"4.4";"0.74"
"1";"hc";"bic";"5";"30";"4.24";"4.5";"0.78"
"1";"hc";"bds";"5";"19";"3.83";"4";"0.63"
"1";"tabu";"k2";"5";"6";"2.76";"2.8";"0.38"
"1";"tabu";"aic";"5";"33";"4.16";"4.4";"0.74"
"1";"tabu";"bic";"5";"22";"4.26";"4.5";"0.74"
"1";"tabu";"bds";"5";"22";"3.98";"4.2";"0.68"
"2";"hc";"k2";"5";"5";"2.63";"2.6";"0.31"
"2";"hc";"aic";"5";"22";"4.23";"4.5";"0.78"
"2";"hc";"bic";"5";"27";"4.25";"4.5";"0.77"
"2";"hc";"bds";"5";"19";"3.78";"4";"0.64"
"2";"tabu";"k2";"5";"8";"2.98";"3";"0.39"
"2";"tabu";"aic";"5";"22";"4.15";"4.4";"0.74"
"2";"tabu";"bic";"5";"23";"4.17";"4.4";"0.72"
"2";"tabu";"bds";"5";"22";"3.99";"4.2";"0.69"
"3";"hc";"k2";"5";"12";"3.1";"3.2";"0.39"
"3";"hc";"aic";"5";"23";"4.04";"4.2";"0.68"
"3";"hc";"bic";"5";"28";"4.25";"4.5";"0.76"
"3";"hc";"bds";"5";"18";"3.64";"3.8";"0.61"
"3";"tabu";"k2";"5";"23";"3.9";"4.1";"0.67"
"3";"tabu";"aic";"5";"34";"4.25";"4.5";"0.77"
"3";"tabu";"bic";"5";"24";"4.22";"4.5";"0.78"
"3";"tabu";"bds";"5";"27";"4.24";"4.5";"0.76"
"4";"hc";"k2";"5";"2";"2.29";"2.3";"0.28"
"4";"hc";"aic";"5";"32";"4.25";"4.5";"0.76"
"4";"hc";"bic";"5";"32";"4.25";"4.5";"0.77"
"4";"hc";"bds";"5";"19";"3.8";"4";"0.63"
"4";"tabu";"k2";"5";"4";"2.5";"2.5";"0.29"
"4";"tabu";"aic";"5";"26";"4.18";"4.4";"0.72"
"4";"tabu";"bic";"5";"30";"4.25";"4.5";"0.77"
"4";"tabu";"bds";"5";"17";"3.7";"3.9";"0.61"
"5";"hc";"k2";"5";"7";"2.72";"2.8";"0.31"
"5";"hc";"aic";"5";"22";"4.09";"4.3";"0.68"
"5";"hc";"bic";"5";"27";"4.24";"4.5";"0.78"
"5";"hc";"bds";"5";"24";"3.98";"4.2";"0.7"
"5";"tabu";"k2";"5";"18";"3.6";"3.7";"0.57"
"5";"tabu";"aic";"5";"24";"4.12";"4.4";"0.72"
"5";"tabu";"bic";"5";"26";"4.26";"4.5";"0.74"
"5";"tabu";"bds";"5";"31";"4.17";"4.4";"0.72"
"6";"hc";"k2";"5";"4";"2.57";"2.6";"0.32"
"6";"hc";"aic";"5";"5";"2.73";"2.7";"0.36"
"6";"hc";"bic";"5";"28";"4.25";"4.5";"0.76"
"6";"hc";"bds";"5";"23";"4.03";"4.2";"0.67"
"6";"tabu";"k2";"5";"13";"3.65";"3.7";"0.57"
"6";"tabu";"aic";"5";"25";"4.23";"4.5";"0.73"
"6";"tabu";"bic";"5";"25";"4.21";"4.4";"0.74"
"6";"tabu";"bds";"5";"18";"3.81";"4";"0.66"
"7";"hc";"k2";"5";"13";"3.34";"3.4";"0.51"
"7";"hc";"aic";"5";"41";"4.25";"4.5";"0.76"
"7";"hc";"bic";"5";"26";"4.25";"4.5";"0.78"
"7";"hc";"bds";"5";"27";"4.24";"4.5";"0.76"
"7";"tabu";"k2";"5";"3";"2.46";"2.4";"0.31"
"7";"tabu";"aic";"5";"25";"4.22";"4.5";"0.77"
"7";"tabu";"bic";"5";"25";"4.21";"4.5";"0.77"
"7";"tabu";"bds";"5";"26";"4.21";"4.5";"0.77"
"8";"hc";"k2";"5";"4";"2.6";"2.6";"0.37"
"8";"hc";"aic";"5";"28";"4.25";"4.5";"0.76"
"8";"hc";"bic";"5";"25";"4.25";"4.5";"0.76"
"8";"hc";"bds";"5";"40";"4.25";"4.5";"0.76"
"8";"tabu";"k2";"5";"11";"3.27";"3.4";"0.49"
"8";"tabu";"aic";"5";"25";"4.1";"4.3";"0.71"
"8";"tabu";"bic";"5";"24";"4.25";"4.5";"0.75"
"8";"tabu";"bds";"5";"21";"4.04";"4.3";"0.7"
"9";"hc";"k2";"5";"21";"3.8";"4";"0.6"
"9";"hc";"aic";"5";"47";"4.25";"4.5";"0.77"
"9";"hc";"bic";"5";"25";"4.25";"4.5";"0.72"
"9";"hc";"bds";"5";"21";"3.74";"3.9";"0.65"
"9";"tabu";"k2";"5";"18";"3.74";"3.8";"0.65"
"9";"tabu";"aic";"5";"23";"4.21";"4.5";"0.74"
"9";"tabu";"bic";"5";"27";"4.22";"4.5";"0.77"
"9";"tabu";"bds";"5";"26";"4.19";"4.4";"0.76"
"10";"hc";"k2";"5";"2";"2.34";"2.3";"0.3"
"10";"hc";"aic";"5";"7";"2.96";"3";"0.43"
"10";"hc";"bic";"5";"23";"4.26";"4.5";"0.75"
"10";"hc";"bds";"5";"20";"3.97";"4.2";"0.69"
"10";"tabu";"k2";"5";"7";"2.98";"3";"0.43"
"10";"tabu";"aic";"5";"22";"4.09";"4.3";"0.69"
"10";"tabu";"bic";"5";"31";"4.25";"4.5";"0.75"
"10";"tabu";"bds";"5";"20";"3.78";"3.9";"0.64"
"11";"hc";"k2";"5";"26";"4.13";"4.4";"0.72"
"11";"hc";"aic";"5";"26";"4.25";"4.5";"0.77"
"11";"hc";"bic";"5";"27";"4.24";"4.5";"0.78"
"11";"hc";"bds";"5";"14";"3.36";"3.4";"0.51"
"11";"tabu";"k2";"5";"8";"2.94";"3";"0.41"
"11";"tabu";"aic";"5";"28";"4.26";"4.5";"0.73"
"11";"tabu";"bic";"5";"41";"4.25";"4.5";"0.75"
"11";"tabu";"bds";"5";"35";"4.16";"4.4";"0.76"
"12";"hc";"k2";"5";"18";"3.48";"3.6";"0.54"
"12";"hc";"aic";"5";"40";"4.25";"4.5";"0.75"
"12";"hc";"bic";"5";"31";"4.24";"4.5";"0.79"
"12";"hc";"bds";"5";"18";"3.75";"3.9";"0.64"
"12";"tabu";"k2";"5";"12";"3.09";"3.2";"0.41"
"12";"tabu";"aic";"5";"36";"4.26";"4.5";"0.74"
"12";"tabu";"bic";"5";"40";"4.25";"4.5";"0.78"
"12";"tabu";"bds";"5";"20";"3.92";"4.1";"0.66"
"13";"hc";"k2";"5";"12";"3.2";"3.3";"0.47"
"13";"hc";"aic";"5";"25";"4.16";"4.4";"0.75"
"13";"hc";"bic";"5";"48";"4.26";"4.5";"0.73"
"13";"hc";"bds";"5";"23";"3.97";"4.2";"0.65"
"13";"tabu";"k2";"5";"16";"3.52";"3.6";"0.54"
"13";"tabu";"aic";"5";"20";"4.19";"4.4";"0.75"
"13";"tabu";"bic";"5";"27";"4.25";"4.5";"0.76"
"13";"tabu";"bds";"5";"22";"3.92";"4.1";"0.63"
"14";"hc";"k2";"5";"12";"3.07";"3.2";"0.39"
"14";"hc";"aic";"5";"32";"4.16";"4.4";"0.75"
"14";"hc";"bic";"5";"22";"4.22";"4.5";"0.76"
"14";"hc";"bds";"5";"21";"3.86";"4";"0.66"
"14";"tabu";"k2";"5";"2";"2.32";"2.3";"0.31"
"14";"tabu";"aic";"5";"25";"4.16";"4.4";"0.71"
"14";"tabu";"bic";"5";"27";"4.25";"4.5";"0.76"
"14";"tabu";"bds";"5";"30";"4.25";"4.5";"0.76"
"15";"hc";"k2";"5";"25";"3.98";"4.2";"0.66"
"15";"hc";"aic";"5";"22";"4.19";"4.4";"0.75"
"15";"hc";"bic";"5";"23";"4.26";"4.5";"0.72"
"15";"hc";"bds";"5";"32";"4.18";"4.4";"0.77"
"15";"tabu";"k2";"5";"2";"2.36";"2.3";"0.33"
"15";"tabu";"aic";"5";"35";"4.25";"4.5";"0.77"
"15";"tabu";"bic";"5";"28";"4.24";"4.5";"0.75"
"15";"tabu";"bds";"5";"26";"4.19";"4.4";"0.75"
"16";"hc";"k2";"5";"19";"3.81";"4";"0.61"
"16";"hc";"aic";"5";"24";"4.15";"4.4";"0.73"
"16";"hc";"bic";"5";"26";"4.25";"4.5";"0.78"
"16";"hc";"bds";"5";"32";"4.25";"4.5";"0.77"
"16";"tabu";"k2";"5";"8";"2.94";"3.1";"0.39"
"16";"tabu";"aic";"5";"31";"4.21";"4.5";"0.78"
"16";"tabu";"bic";"5";"26";"4.25";"4.5";"0.76"
"16";"tabu";"bds";"5";"23";"4.08";"4.3";"0.72"
"17";"hc";"k2";"5";"11";"3.07";"3.1";"0.43"
"17";"hc";"aic";"5";"24";"4.21";"4.5";"0.75"
"17";"hc";"bic";"5";"23";"4.24";"4.5";"0.76"
"17";"hc";"bds";"5";"38";"4.25";"4.5";"0.76"
"17";"tabu";"k2";"5";"14";"3.62";"3.7";"0.6"
"17";"tabu";"aic";"5";"28";"4.25";"4.5";"0.75"
"17";"tabu";"bic";"5";"32";"4.25";"4.5";"0.76"
"17";"tabu";"bds";"5";"26";"4.15";"4.4";"0.72"
"18";"hc";"k2";"5";"7";"2.77";"2.8";"0.34"
"18";"hc";"aic";"5";"19";"3.92";"4.1";"0.67"
"18";"hc";"bic";"5";"39";"4.25";"4.5";"0.77"
"18";"hc";"bds";"5";"19";"3.72";"3.8";"0.6"
"18";"tabu";"k2";"5";"10";"3.04";"3.2";"0.43"
"18";"tabu";"aic";"5";"26";"4.19";"4.4";"0.75"
"18";"tabu";"bic";"5";"37";"4.25";"4.5";"0.77"
"18";"tabu";"bds";"5";"25";"4.05";"4.3";"0.7"
"19";"hc";"k2";"5";"10";"3.12";"3.2";"0.46"
"19";"hc";"aic";"5";"22";"4.18";"4.4";"0.76"
"19";"hc";"bic";"5";"30";"4.25";"4.5";"0.77"
"19";"hc";"bds";"5";"27";"4.23";"4.5";"0.75"
"19";"tabu";"k2";"5";"3";"2.5";"2.5";"0.33"
"19";"tabu";"aic";"5";"7";"2.99";"3";"0.45"
"19";"tabu";"bic";"5";"39";"4.25";"4.5";"0.75"
"19";"tabu";"bds";"5";"25";"4.2";"4.4";"0.73"
"20";"hc";"k2";"5";"5";"2.68";"2.7";"0.35"
"20";"hc";"aic";"5";"26";"4.25";"4.5";"0.77"
"20";"hc";"bic";"5";"24";"4.25";"4.5";"0.74"
"20";"hc";"bds";"5";"22";"3.85";"4";"0.63"
"20";"tabu";"k2";"5";"32";"4.15";"4.3";"0.76"
"20";"tabu";"aic";"5";"19";"4";"4.2";"0.7"
"20";"tabu";"bic";"5";"38";"4.25";"4.5";"0.76"
"20";"tabu";"bds";"5";"17";"3.5";"3.6";"0.56"
